Dataset,Model,Seed,Fold,Accuracy,Precision,F1,Recall
AD,NN-CH,0,4,0.35348837209302325,0.17674418604651163,0.26116838487972505,0.5
AD,NN-CH,0,5,0.6456876456876457,0.32284382284382285,0.3923512747875354,0.5
AD,NN-CH,1,1,0.7209302325581395,0.8112916219119226,0.5946582875098194,0.609735895494131
AD,NN-CH,1,2,0.7651162790697674,0.7453215553115985,0.7340331065398584,0.7273996592199925
AD,NN-CH,1,3,0.35348837209302325,0.17674418604651163,0.26116838487972505,0.5
AD,NN-CH,1,4,0.6465116279069767,0.32325581395348835,0.3926553672316384,0.5
AD,NN-CH,1,5,0.745920745920746,0.8145323163388198,0.6506853919994025,0.6488694660839824
AD,NN-CH,2,1,0.35348837209302325,0.17674418604651163,0.26116838487972505,0.5
AD,NN-CH,2,2,0.6465116279069767,0.32325581395348835,0.3926553672316384,0.5
AD,NN-CH,2,3,0.786046511627907,0.7670814479638008,0.7716409984067976,0.779368610374858
AD,NN-CH,2,4,0.772093023255814,0.7695480631276901,0.7262285283646475,0.7134134797425218
AD,NN-CH,2,5,0.710955710955711,0.7260683760683762,0.7080223061385791,0.7450004750142505
AD,NN-CH,3,1,0.6511627906976745,0.8247663551401869,0.40675471836944926,0.506578947368421
AD,NN-CH,3,2,0.35348837209302325,0.17674418604651163,0.26116838487972505,0.5
AD,NN-CH,3,3,0.7813953488372093,0.7937033702083869,0.7310783478816265,0.7161349867474441
AD,NN-CH,3,4,0.37209302325581395,0.6800947867298578,0.29278039034136594,0.5143884892086331
AD,NN-CH,3,5,0.6247086247086248,0.7190874169435216,0.6235303736407489,0.7004797643929318
AD,NN-CH,4,1,0.7651162790697674,0.7755604704936162,0.7073824779846245,0.6945995834911018
AD,NN-CH,4,2,0.7534883720930232,0.7489821552321553,0.7467777777777778,0.7720797046573268
AD,NN-CH,4,3,0.7813953488372093,0.7703172533681009,0.7462649089767734,0.7355168496781522
AD,NN-CH,4,4,0.8116279069767441,0.7976507809969856,0.7889333955483915,0.7827527451722832
AD,NN-CH,4,5,0.682983682983683,0.696175389462629,0.6794567510548524,0.7129488884666539
